stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Jeffrey M. Ivanson\Documents\sem4\i2p_project\SourceCode\allegro5.cfg r
display  D   display_settings.c:527  _al_score_display_settings       [   0.10027] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10029] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10031] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.10033] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10035] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.10036] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10038] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.10040] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10042] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.10044] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10046] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.10048] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10049] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.10056] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10059] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.10060] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10062] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10064] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10066] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10068] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10070] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.10071] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10073] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.10075] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10077] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.10079] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10081] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.10083] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10085] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.10086] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10088] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.10090] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10092] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.10094] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10096] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10098] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10099] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10101] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10103] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.10105] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10107] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.10109] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10111] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.10112] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10114] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.10116] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10121] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.10123] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10125] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.10127] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10128] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.10130] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10132] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10134] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10137] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10139] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10141] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.10142] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10144] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.10146] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10148] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.10150] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10152] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.10154] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10156] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.10157] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10159] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.10161] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10163] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.10165] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10167] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10168] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10170] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10172] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10174] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.10176] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10178] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.10180] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10182] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.10184] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10186] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.10187] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10189] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.10191] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10193] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.10195] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10197] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.10198] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10200] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10202] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10204] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10206] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10208] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.10210] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10212] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.10213] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10215] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.10217] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10219] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.10221] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10223] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.10224] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10226] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.10228] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10230] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.10232] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10234] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10235] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10237] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10239] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10241] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.10243] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10245] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.10247] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10249] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.10250] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10252] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.10254] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10256] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.10258] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10260] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.10262] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10263] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.10265] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10267] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10269] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10271] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.10273] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10275] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.10276] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10278] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.10280] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10282] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.10284] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10286] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.10287] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10289] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.10291] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10293] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.10295] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10297] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.10298] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10300] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10302] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10304] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10306] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10308] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10310] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10312] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10314] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10316] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10318] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10320] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10321] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10323] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10325] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10327] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10329] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10331] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10333] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10335] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10337] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10339] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10341] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10343] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10344] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10346] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10348] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10350] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10352] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10354] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10356] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10358] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10360] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10362] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10364] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10366] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10368] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10370] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10371] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10373] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10375] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10377] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10379] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10381] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10383] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10385] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10386] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10388] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10390] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10392] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10394] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10396] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10398] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10399] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10401] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10403] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10405] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10407] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10409] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10411] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10412] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10414] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10416] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10418] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10420] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10422] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10424] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10426] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10428] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10429] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10431] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10433] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10435] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10437] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10439] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10441] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10442] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10444] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10446] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10448] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10450] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10452] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10454] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10456] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10457] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10459] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10461] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10463] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10465] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10467] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10469] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10470] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10475] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10477] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10479] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10481] Single Buffer requirement not met.
